anc_idx,src_idx,aug_iter,smiles
0,0,0,CCCN(CC(C)O)N=O
1,1,0,Cn1cncc1C(=O)NN
2,2,0,S=c1ssc2c1CCCCC2
3,3,0,Cc1csc2nc(N)nn12
4,4,0,CCCOC(=O)c1ccccc1
5,5,0,Nc1cc(-c2ccco2)no1
6,6,0,COC(=O)CCc1ccccc1C
7,7,0,C[n+]1ccc(C=NO)cc1
8,8,0,CCc1cc2c(Cl)ncnc2s1
9,9,0,N#Cc1ccccc1Cn1cncn1
10,10,0,O=Cc1ccc(Cl)c(Cl)c1
11,11,0,NCCCCNC(=O)Nc1ccccc1
12,12,0,Cc1ncsc1C(O)c1ccccc1
13,13,0,OCC1NC(CO)C(O)C(O)C1O
14,14,0,CN(C)C(=S)SC(=S)N(C)C
15,15,0,CC1=CC=CN2CC(O)CN=C12
16,16,0,Cn1ccnc1COc1ccc(CO)cc1
17,17,0,Cc1ccc(N2C3CCC2CC3)cc1
18,18,0,CC1CCc2onc(C(=O)O)c2C1
19,19,0,CCNC(=O)N1CCC(N(C)C)C1
20,20,0,CNC(=S)NNC(=O)c1sccc1C
21,21,0,Cc1cccc(C)c1NC1CCOC1=O
22,22,0,N#CC1=C2CCCCC2(O)NC1=O
23,23,0,CCCNC(=O)C(C)Oc1ccccc1
24,24,0,CC1C(O)C2CC[N+]1(C)CC2
25,25,0,CCCCSc1cc(=O)nc(N)[nH]1
26,26,0,CNc1nc(Nc2ccccc2)ncc1Cl
27,27,0,O=C(NN(CCO)CCO)c1ccccc1
28,28,0,O=C(Nc1ccccc1)OCC1CCCO1
29,29,0,CC(=O)Oc1ccccc1SCCCCC#N
30,30,0,C#CCOc1ccc2ccc(=O)oc2c1
31,31,0,Cc1cccc(OCCCCCn2ccnc2)c1
32,32,0,Clc1cccnc1N1CC2CCC(C1)N2
33,33,0,C=CCNC(=S)NN=CC=Cc1ccco1
34,34,0,Cc1n[nH]c2sc(C(N)=O)cc12
35,35,0,COC(=O)c1nc(Cl)c(Cl)nc1N
36,36,0,COc1cc(-c2ccccc2)ccc1CCN
37,37,0,O=C1c2ccccc2CC1CN1CCCCC1
38,38,0,O=C(O)CNC(=O)CCCc1ccccc1
39,39,0,CCC1CNCCc2cc(OC)c(Br)cc21
40,40,0,Clc1ccc(SCCCCN2CCOCC2)cc1
41,41,0,C#CC(=O)Nc1ccc(CCCCCC)cc1
42,42,0,CCc1nc(Cl)c(C#N)c2c1CCCC2
43,43,0,CS(=O)(=O)CS(=O)(=O)OCCCl
44,44,0,O=C1Nc2ccccc2C1=NNC(=S)NO
45,45,0,CCCCC(=O)Nc1ccc(F)c(Cl)c1
46,46,0,CN(C)CCSc1cccc(-c2ccoc2)n1
47,47,0,O=C(NCc1ccc(F)cc1)c1ccncc1
48,48,0,CCNC(=O)C=Cc1ccc(C(C)C)cc1
49,49,0,O=c1cc2c(nn1CN1CCOCC1)CCC2
50,50,0,CCN(CC)c1nc(C(N)=O)cnc1C#N
51,51,0,Cc1c(C=O)c2ccccc2n1CCN(C)C
52,52,0,CSc1ncccc1C(=O)NCCc1ccccc1
