Compound_name,Outcome,SMILES,RGB,hex,HSV
12832,698.0,COc1ccc2cc(C3=[N+]4C(=Nc5c(-c6ccc7ccccc7c6)c(Br)c(-c6ccc7cc(OC)ccc7c6)n5[B-]4(F)F)C(c4ccc5ccccc5c4)=C3Br)ccc2c1,"[1.0, 0.0, 0.0]",#ff0000,"(0.0, 1.0, 1.0)"
5722,664.0,COCCOCCOCCOc1ccc(/C=C/C2=[N+]3C(=C(c4cc(OC)cc(OC)c4)c4c(C)c(I)c(/C=C/c5ccc(OCCOCCOCCOC)cc5)n4[B-]3(F)F)C(C)=C2I)cc1,"[1.0, 0.0, 0.0]",#ff0000,"(0.0, 1.0, 1.0)"
19513,656.0,COc1c2ccccc2c(OC)c2c(C#Cc3ccccc3)c3cc4sccc4cc3c(C#Cc3ccccc3)c12,"[1.0, 0.0, 0.0]",#ff0000,"(0.0, 1.0, 1.0)"
19121,683.0,CC(C)[Si](C#Cc1c2cc3ccccc3cc2c(C#C[Si](C(C)C)(C(C)C)C(C)C)c2nc3cc4c(cc3nc12)C1c2ccccc2C4c2ccccc21)(C(C)C)C(C)C,"[1.0, 0.0, 0.0]",#ff0000,"(0.0, 1.0, 1.0)"
3280; 17834; 20267; 20501,676.0,CCOC(=O)COc1ccc(/C=C/C2=C3C(C)=CC(/C=C/c4ccc(OCC(=O)OCC)cc4)=[N+]3[B-](F)(F)n3c2c2ccccc2c3-c2[nH]c(C)cc2C)cc1,"[1.0, 0.0, 0.0]",#ff0000,"(0.0, 1.0, 1.0)"
14809,648.0,COc1ccc2cc(C(C)C(=O)Oc3ccc(-c4c5nc(c(-c6ccc(C)cc6)c6ccc([nH]6)c(-c6ccc(C)cc6)c6nc(c(-c7ccc(C)cc7)c7ccc4[nH]7)C=C6)C=C5)cc3)ccc2c1,"[1.0, 0.0, 0.0]",#ff0000,"(0.0, 1.0, 1.0)"
8026,683.0,CC(C)(C)c1ccc(C2=c3c(c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)ccc34)=[N+]3C2=C(c2ccccc2)c2c(-c4ccc(C(C)(C)C)cc4)c4c5ccc(C(C)(C)C)cc5c5cc(C(C)(C)C)ccc5c4n2[B-]3(F)F)cc1,"[1.0, 0.0, 0.0]",#ff0000,"(0.0, 1.0, 1.0)"
20413,654.0,Cc1ccc(C2=C3C=C(c4ccc(C)s4)C(c4ccc(C)s4)=[N+]3[B-](F)(F)n3c2cc(-c2ccc(C)s2)c3-c2ccc(C)s2)cc1,"[1.0, 0.0, 0.0]",#ff0000,"(0.0, 1.0, 1.0)"
20415,681.0,Cc1ccc(C2=C3C=C(c4ccc(-c5ccccc5)s4)C(c4ccc(-c5ccccc5)s4)=[N+]3[B-](F)(F)n3c2cc(-c2ccc(-c4ccccc4)s2)c3-c2ccc(-c3ccccc3)s2)cc1,"[1.0, 0.0, 0.0]",#ff0000,"(0.0, 1.0, 1.0)"
5627,659.0,CC[n+]1c(C=C2C(=O)C(C=C3N(C)c4ccc(Cl)cc4C3(C)C)=C2[O-])[se]c2ccccc21,"[1.0, 0.0, 0.0]",#ff0000,"(0.0, 1.0, 1.0)"
20345,677.0,CCC1=C(C)C2=C(c3c(F)c(F)c(F)c(F)c3F)c3c(C)c(CC)c(/C=C/c4ccc(O)cc4)n3[B-](F)(F)[N+]2=C1/C=C/c1ccc(O)cc1,"[1.0, 0.0, 0.0]",#ff0000,"(0.0, 1.0, 1.0)"
