,x,y
7473,10.859477,1.5971326
37365,10.859252,1.5974063
37366,10.8666525,1.5946006
37367,10.866715,1.5947161
37368,10.878771,1.591002
37369,10.857906,1.5974128
6177,12.741555,6.159599
30885,12.787997,6.196598
30886,12.806154,6.2220025
30887,12.788933,6.2074275
30888,12.781528,6.1973753
30889,12.795754,6.210041
7116,4.9269767,-2.6695392
35580,4.939158,-2.6791458
35581,4.936242,-2.676081
35582,4.9329705,-2.6740496
35583,4.935678,-2.6731052
35584,4.9335227,-2.67452
4644,-0.23426098,8.007165
23220,-0.24042943,7.9923606
23221,-0.06059319,8.022122
23222,-0.2512819,8.000436
23223,-0.23605922,7.999795
23224,-0.23620686,8.001823
8202,9.410019,1.3504727
41010,9.438326,1.3470945
41011,9.427002,1.3699938
41012,9.4264145,1.3694196
41013,9.395916,1.3444864
41014,9.424718,1.3717501
233,-2.2065585,-8.591615
1165,-2.1937678,-8.58293
1166,-2.2199397,-8.612012
1167,-2.1982148,-8.606547
1168,-2.223742,-8.595247
1169,-2.2049384,-8.601211
8974,8.999633,0.29917154
44870,8.966723,0.28040066
44871,8.988138,0.25098616
44872,8.990785,0.27939916
44873,8.994933,0.27779892
44874,8.981167,0.26034018
9071,-5.395891,-6.3239975
45355,-5.446283,-6.3121724
45356,-5.3563294,-6.3382444
45357,-5.388329,-6.3322425
45358,-5.3909874,-6.327482
45359,-5.4016438,-6.324805
5458,8.437947,-1.0137838
27290,8.428143,-1.0309404
27291,8.436725,-1.0136285
27292,8.429656,-1.0276842
27293,8.434812,-1.0177718
27294,8.435753,-1.0159605
2017,1.8799896,14.0189495
10085,1.8927286,14.027914
10086,1.8943973,14.036362
10087,1.890209,14.035702
10088,1.8888509,14.023144
10089,1.8804767,14.019114
807,1.4865894,-9.259547
4035,1.4622395,-9.230923
4036,1.4842387,-9.25669
4037,1.4746503,-9.245131
4038,1.4860281,-9.257042
4039,1.4810691,-9.25391
2325,11.450167,9.607969
11625,11.444297,9.594155
11626,11.448981,9.61467
11627,11.4504175,9.607898
11628,11.461954,9.621322
11629,11.461739,9.619367
6315,14.090164,-7.0897274
31575,14.095264,-7.080293
31576,14.0936775,-7.0821257
31577,14.097945,-7.0744276
31578,14.093917,-7.080799
31579,14.08717,-7.091384
7653,6.1258693,0.7215772
38265,6.1031466,0.7180518
38266,6.1128526,0.7105527
38267,6.1141486,0.7002816
38268,6.1065965,0.7096034
38269,6.112832,0.7045097
9483,16.92574,3.1984055
47415,16.916807,3.2157798
47416,16.920753,3.206655
47417,16.924942,3.2010126
47418,16.923868,3.204143
47419,16.907272,3.2237687
4087,-4.5269103,4.6205297
20435,-4.5416317,4.6353993
20436,-4.5306077,4.619907
20437,-4.523928,4.611838
20438,-4.5257936,4.6168766
20439,-4.5295877,4.6209216
274,-8.738451,7.79831
1370,-8.760341,7.8213506
1371,-8.752611,7.7935534
1372,-8.733717,7.7949758
1373,-8.736097,7.7957325
1374,-8.6956005,7.7621684
1882,6.8471,9.493048
9410,6.8505363,9.515252
9411,6.8318424,9.502589
9412,6.8293543,9.503994
9413,6.835793,9.501847
9414,6.824637,9.52483
4393,19.241766,0.5361813
21965,19.221308,0.54024315
21966,19.240883,0.53591895
21967,19.237146,0.5360898
21968,19.232178,0.53659666
21969,19.246037,0.53221136
1628,-8.364515,6.858092
8140,-8.371975,6.868474
8141,-8.391693,6.8782067
8142,-8.365765,6.884049
8143,-8.398599,6.929751
8144,-8.372108,6.8726125
4954,14.884904,4.3445826
24770,14.866603,4.3481436
24771,14.8752985,4.34687
24772,14.895351,4.3642716
24773,14.876836,4.343838
24774,14.868749,4.3446198
2500,1.2587575,3.0127583
12500,1.2549938,3.0165281
12501,1.2561631,2.9964588
12502,1.2454048,3.0397153
12503,1.248945,3.0206833
12504,1.2613529,3.0069172
2781,-5.637289,3.1730733
13905,-5.6607804,3.203422
13906,-5.6520452,3.1903944
13907,-5.6524596,3.183343
13908,-5.6533885,3.1885834
13909,-5.648586,3.1796894
4444,-2.2114098,-0.34236962
22220,-2.210394,-0.34197727
22221,-2.2120867,-0.2985802
22222,-2.2118716,-0.36771137
22223,-2.2042248,-0.2553068
22224,-2.250426,-0.30862015
8913,17.816349,14.613416
44565,17.810284,14.615966
44566,17.80428,14.609197
44567,17.805927,14.58702
44568,17.807066,14.592892
44569,17.82428,14.61338
6882,-5.393745,-6.263087
34410,-5.4201226,-6.2918105
34411,-5.3698993,-6.2688146
34412,-5.3851075,-6.2663646
34413,-5.381676,-6.266362
34414,-5.38753,-6.2821975
6044,15.692679,-3.6849697
30220,15.692998,-3.719017
30221,15.682185,-3.7094352
30222,15.698687,-3.7536
30223,15.721887,-3.7400782
30224,15.691676,-3.7484636
4669,7.74011,2.2987082
23345,7.741327,2.2957485
23346,7.7426233,2.301319
23347,7.7456455,2.3036463
23348,7.7467537,2.3080614
23349,7.741349,2.3016422
8471,-5.473308,9.720718
42355,-5.5118084,9.744301
42356,-5.5161824,9.740599
42357,-5.48217,9.773043
42358,-5.5094666,9.745995
42359,-5.5285687,9.722525
1414,-0.00073592574,1.178882
7070,0.004367028,1.1824772
7071,0.016141182,1.194243
7072,0.011798253,1.1923428
7073,0.013029716,1.1888785
7074,0.0042111077,1.1824975
5097,-4.720376,-6.401631
25485,-4.785298,-6.3674493
25486,-4.740698,-6.389963
25487,-4.756779,-6.381812
25488,-4.829294,-6.3451037
25489,-4.6148415,-6.495906
3499,1.9238154,13.487775
17495,1.9245244,13.488189
17496,1.9154146,13.483745
17497,1.9183265,13.485753
17498,1.9185646,13.487006
17499,1.9185053,13.480305
725,-9.464755,2.490357
3625,-9.470678,2.4895816
3626,-9.473548,2.4923246
3627,-9.4746065,2.4946527
3628,-9.470276,2.4919393
3629,-9.473508,2.4898098
2133,-8.660302,7.7443585
10665,-8.595959,7.7521935
10666,-8.659563,7.737636
10667,-8.652989,7.7008357
10668,-8.677587,7.74835
10669,-8.597844,7.74254
352,-2.5661097,6.248811
