,x,y
7473,9.211042,2.935884
37365,10.208584,7.3638735
37366,10.197949,7.3621774
37367,10.22297,7.301255
37368,7.8570557,1.856948
37369,10.210864,7.3186493
6177,9.084736,2.5836055
30885,10.973061,6.7543464
30886,14.3062935,6.2008457
30887,9.112257,2.5710695
30888,9.1552,2.5357628
30889,14.383359,6.1702957
7116,9.573376,8.471668
35580,8.172891,1.3636025
35581,9.591596,8.438089
35582,9.569056,8.431843
35583,9.57307,8.442026
35584,9.568287,8.441712
4644,9.689296,-0.6675869
23220,9.674532,-0.67235523
23221,9.464254,-0.8632085
23222,9.676259,-0.6744731
23223,9.685049,-0.6753624
23224,8.967667,0.51586676
8202,9.578118,8.359736
41010,10.784234,4.4487405
41011,10.7811575,4.553636
41012,9.586377,8.368011
41013,9.585569,8.368479
41014,9.5729065,8.345284
233,7.072568,3.3650072
1165,7.0249968,3.3384578
1166,7.007007,3.3153033
1167,8.744491,7.6960487
1168,7.067489,3.3926737
1169,8.738235,7.6304903
8974,8.918821,2.6285822
44870,8.267495,-0.5291924
44871,12.367034,7.1559753
44872,7.2252865,5.356462
44873,12.543721,7.1868377
44874,12.548214,7.193023
9071,8.754693,2.5817213
45355,7.269151,0.40260023
45356,9.124046,7.8236685
45357,7.0695925,-0.6737046
45358,8.17463,8.721372
45359,9.117734,1.0106803
5458,7.5911956,1.294031
27290,9.088812,7.6434174
27291,7.618502,1.2806089
27292,7.5533085,1.2522743
27293,7.6440887,1.2201303
27294,9.084004,7.6548686
2017,13.91254,1.6313275
10085,13.881399,1.6130887
10086,10.37724,-0.34493765
10087,10.354,-0.34302393
10088,13.907589,1.65359
10089,10.410928,-0.36218897
807,10.830757,-0.77009606
4035,10.785015,-0.74127793
4036,9.277275,9.297741
4037,10.829216,-0.77831095
4038,10.777991,-0.73027205
4039,9.213587,9.26496
2325,14.508507,5.7524548
11625,14.522388,5.743757
11626,14.514101,5.7643614
11627,14.538069,5.734167
11628,13.327611,6.654321
11629,10.139275,5.859031
6315,9.245569,3.0445025
31575,9.102087,1.0551953
31576,10.41312,5.6431456
31577,13.373775,7.039418
31578,10.577966,7.1845474
31579,13.312244,7.1390953
7653,8.718396,2.6677773
38265,9.161641,7.7067413
38266,9.133805,1.0588644
38267,11.61732,5.0558534
38268,12.1139,5.5210657
38269,11.93431,5.392243
9483,10.152793,6.01933
47415,10.144531,6.0116596
47416,10.085436,5.954043
47417,10.118851,6.0045958
47418,10.143548,6.0025277
47419,10.146468,6.01363
4087,7.7531104,-1.3559613
20435,8.26792,-1.5846156
20436,7.900487,-1.1647578
20437,8.020408,-1.5597821
20438,7.799045,-1.363314
20439,8.21652,-1.6665902
274,6.1467705,-1.2414199
1370,6.425617,-1.1022198
1371,6.2296114,-1.2099515
1372,6.1515126,-1.217812
1373,6.1388865,-1.2445749
1374,6.5722656,-0.8132844
1882,11.127383,2.9296834
9410,8.545516,5.399705
9411,11.09017,2.9275863
9412,8.543684,5.4105225
9413,11.101716,2.915744
9414,10.540575,2.9576647
4393,10.696954,3.256847
21965,10.575034,3.0899472
21966,10.670162,3.243683
21967,10.686671,3.2528136
21968,10.583686,3.1286588
21969,10.687834,3.2520127
1628,5.1875987,-0.39255276
8140,5.193007,-0.3945445
8141,5.1950216,-0.40036237
8142,5.1835074,-0.38258263
8143,5.195662,-0.40008858
8144,5.1976013,-0.39726734
4954,13.308927,6.806161
24770,13.263204,6.7593236
24771,13.235758,6.8173156
24772,13.276088,6.8309197
24773,13.282612,6.8117943
24774,13.243128,6.7278504
2500,8.066437,3.260943
12500,8.189875,-0.58577466
12501,8.073353,3.2508276
12502,7.7045054,5.4762893
12503,8.145064,3.2374766
12504,7.667158,4.8316226
2781,7.868934,-2.0905654
13905,7.8619065,-2.0589097
13906,7.884296,-2.0976322
13907,7.873656,-2.0760481
13908,7.8693776,-2.078341
13909,7.876506,-2.0978057
4444,8.826727,-0.41983956
22220,8.775364,0.08267242
22221,7.4141045,-0.35395023
22222,9.734629,-0.3401173
22223,8.592363,9.247517
22224,9.044383,8.148772
8913,12.867793,2.6528647
44565,12.941681,2.6505103
44566,12.872018,2.6921525
44567,10.983324,5.9258237
44568,10.983045,5.9275436
44569,13.821884,5.3996964
6882,7.7765007,1.5292088
34410,7.768782,1.7424517
34411,7.83405,1.4915316
34412,7.700766,1.4776762
34413,7.8100357,1.4976513
34414,7.7735085,1.5226693
6044,10.417436,6.94829
30220,10.379975,7.0505795
30221,10.437643,6.9559073
30222,13.1890745,6.844351
30223,13.243844,7.048466
30224,9.32999,3.3502533
4669,11.044018,6.6213403
23345,10.967087,6.5125284
23346,10.922538,6.636885
23347,10.929919,6.4179688
23348,10.962106,6.4791284
23349,11.044347,6.583149
8471,7.2818856,5.009894
42355,7.315434,4.988105
42356,7.3465695,4.958293
42357,7.3328238,4.979059
42358,7.3001437,5.001853
42359,7.3232965,4.971902
1414,8.513322,2.7288816
7070,7.9245906,7.2238894
7071,8.850492,7.697633
7072,8.415055,2.6550455
7073,8.69036,2.8363142
7074,8.850341,7.7230024
5097,9.110038,1.5126108
25485,9.104799,1.5244566
25486,9.092421,1.4456891
25487,9.186506,0.95609975
25488,9.276248,0.9056502
25489,7.1530256,0.5101525
3499,9.241217,-3.207538
17495,9.248854,-3.222623
17496,9.251357,-3.2237155
17497,9.261133,-3.2020907
17498,9.248274,-3.2196293
