,x,y
7473,2.047791,-3.7804582
37365,2.0396357,-3.783439
37366,2.0319805,-3.7916012
37367,2.032141,-3.7909286
37368,2.0318177,-3.790313
37369,2.0381129,-3.7782087
6177,12.539373,-3.5472374
30885,12.536229,-3.5457158
30886,12.520263,-3.539026
30887,12.537118,-3.54664
30888,12.5396,-3.5464654
30889,12.53323,-3.5446517
7116,24.037592,5.6499047
35580,24.035772,5.6380653
35581,24.038015,5.643301
35582,24.03541,5.6368103
35583,24.044712,5.6256976
35584,24.038961,5.6410513
4644,18.819931,-0.4535693
23220,18.809114,-0.46306047
23221,18.808222,-0.46632597
23222,18.819431,-0.45373523
23223,18.810238,-0.45165154
23224,18.811665,-0.46128958
8202,23.897642,5.167604
41010,23.91857,5.1804576
41011,23.90668,5.158001
41012,23.916067,5.1610217
41013,23.911112,5.169503
41014,23.920574,5.1701202
233,11.500802,-6.0491223
1165,11.50019,-6.048812
1166,11.500085,-6.049076
1167,11.501345,-6.048626
1168,11.5007305,-6.0490317
1169,11.499515,-6.0485544
8974,8.794902,3.2748168
44870,8.779948,3.254488
44871,8.783165,3.2587566
44872,8.796055,3.2725503
44873,8.789125,3.2653399
44874,8.796622,3.2802036
9071,13.008839,15.53624
45355,13.002908,15.53653
45356,13.0043955,15.534934
45357,13.003815,15.536992
45358,13.008876,15.535419
45359,13.013738,15.534301
5458,1.6905947,-9.511965
27290,1.7053984,-9.53142
27291,1.6953435,-9.518941
27292,1.6815386,-9.502658
27293,1.6925998,-9.514038
27294,1.6927352,-9.515101
2017,-0.5988656,7.0074196
10085,-0.58316946,6.9916434
10086,-0.6015957,7.0093875
10087,-0.59995115,7.0082607
10088,-0.60344505,7.010729
10089,-0.59904426,7.0080614
807,27.621813,3.9198003
4035,27.615044,3.9266765
4036,27.600615,3.9213226
4037,27.629911,3.9220717
4038,27.634596,3.9211912
4039,27.643229,3.9205163
2325,10.336737,-1.802775
11625,10.319147,-1.7874999
11626,10.318978,-1.7872787
11627,10.318654,-1.7866142
11628,10.33672,-1.8048928
11629,10.334398,-1.8025604
6315,16.061821,4.3134255
31575,16.075184,4.320089
31576,16.049774,4.306359
31577,16.063402,4.315677
31578,16.079714,4.3263555
31579,16.070457,4.3198676
7653,14.98016,-5.337211
38265,14.93944,-5.2943873
38266,14.978895,-5.335863
38267,14.97948,-5.3355484
38268,14.979567,-5.3381553
38269,14.978952,-5.3364553
9483,1.7212079,-13.452763
47415,1.7212269,-13.452876
47416,1.7211618,-13.45261
47417,1.7211934,-13.452982
47418,1.7211841,-13.452689
47419,1.7211889,-13.452488
4087,-0.13461073,-10.624729
20435,-0.13997744,-10.621724
20436,-0.16300029,-10.59823
20437,-0.15603736,-10.604646
20438,-0.1323236,-10.625883
20439,-0.14246155,-10.621157
274,2.9470644,3.3717122
1370,2.9837143,3.3538916
1371,3.0143337,3.3527868
1372,2.9692712,3.360339
1373,2.9903114,3.3351717
1374,2.990109,3.3362083
1882,14.637076,0.7795745
9410,14.647074,0.79479593
9411,14.631985,0.77358985
9412,14.641221,0.78046787
9413,14.639499,0.77627623
9414,14.632158,0.78543586
4393,8.735802,-5.906783
21965,8.73081,-5.9142575
21966,8.722477,-5.9100823
21967,8.726147,-5.900306
21968,8.735551,-5.9156976
21969,8.741696,-5.9299154
1628,2.8101065,5.3393545
8140,2.801661,5.3268437
8141,2.802987,5.329531
8142,2.7954514,5.3189826
8143,2.8096404,5.332408
8144,2.8025048,5.331235
4954,-1.9970438,10.768634
24770,-1.9949162,10.770282
24771,-1.9967167,10.768913
24772,-1.9902408,10.772679
24773,-1.997904,10.7684965
24774,-1.9964076,10.769063
2500,9.668901,2.863573
12500,9.670988,2.861092
12501,9.653834,2.8536706
12502,9.668608,2.8631501
12503,9.668886,2.8620038
12504,9.668449,2.8621414
2781,0.9797286,2.6230476
13905,0.9807233,2.6224384
13906,0.995597,2.606929
13907,0.9800592,2.6223836
13908,0.98027307,2.6223946
13909,0.9787243,2.6217082
4444,12.688389,10.285954
22220,12.688708,10.275144
22221,12.7004,10.289617
22222,12.687787,10.2742195
22223,12.694324,10.288629
22224,12.708083,10.314328
8913,9.132099,-19.277973
44565,9.132066,-19.276678
44566,9.109265,-19.299486
44567,9.138203,-19.27267
44568,9.1244955,-19.286148
44569,9.13381,-19.276644
6882,0.25475594,11.359106
34410,0.26214582,11.364256
34411,0.26602527,11.368392
34412,0.2640207,11.369446
34413,0.26653638,11.37694
34414,0.26029527,11.3701105
6044,14.994859,-7.9510617
30220,14.992656,-7.949439
30221,14.996723,-7.95393
30222,14.995126,-7.9518294
30223,14.995653,-7.9524803
30224,14.995711,-7.9525623
4669,7.832919,2.322515
23345,7.834516,2.315338
23346,7.840358,2.3335133
23347,7.8358593,2.3390348
23348,7.8400702,2.3108797
23349,7.836821,2.3209693
8471,16.477636,-5.2558117
42355,16.481054,-5.2706122
42356,16.481535,-5.2715054
42357,16.504133,-5.250011
42358,16.477972,-5.265378
42359,16.487337,-5.2657638
1414,6.0260134,-1.2025808
7070,6.034582,-1.1848704
7071,6.0284786,-1.1827328
7072,6.0346894,-1.1883721
7073,6.033721,-1.1699399
7074,6.01541,-1.1903471
5097,12.584765,16.668308
25485,12.581237,16.664103
25486,12.588063,16.67444
25487,12.581192,16.664114
25488,12.585998,16.669893
25489,12.595145,16.679115
3499,10.404065,5.2876644
17495,10.404634,5.288234
17496,10.405041,5.289666
17497,10.405961,5.2904997
17498,10.405865,5.2906704
17499,10.405642,5.2903395
725,13.146344,1.0209686
3625,13.141977,1.0181303
3626,13.141713,1.0189929
3627,13.142446,1.0187887
3628,13.142918,1.0189633
3629,13.138986,1.019486
2133,3.0190065,3.305333
10665,3.0600383,3.2700052
10666,2.9866896,3.3671415
10667,2.9889233,3.33958
10668,2.9999118,3.323899
10669,3.0445166,3.2643623
352,4.2885966,6.045643
1760,4.2834644,6.042439
1761,4.29074,6.04722
1762,4.294891,6.049357
1763,4.2842646,6.0429363
1764,4.2694387,6.0324397
8659,13.874961,11.97339
43295,13.879505,11.936308
43296,13.860284,11.972434
43297,13.873329,11.95466
43298,13.883732,11.96374
43299,13.879933,11.955396
162,2.8064444,5.351885
810,2.8080432,5.3541975
811,2.7969515,5.353669
812,2.7976065,5.3589215
813,2.8063533,5.351766
814,2.8069258,5.3507338
832,-3.3814378,-5.100111
4160,-3.3792434,-5.0956373
4161,-3.39169,-5.1232896
4162,-3.3853428,-5.1106973
4163,-3.3820157,-5.1019673
4164,-3.3784075,-5.096317
228,1.2848786,-7.7242465
1140,1.2726452,-7.7357264
1141,1.2830433,-7.725199
1142,1.3101615,-7.7035594
1143,1.2627378,-7.731491
1144,1.2947522,-7.7184596
2953,5.640125,3.9462087
14765,5.639032,3.9459002
14766,5.640351,3.9488685
14767,5.639724,3.9461496
14768,5.647689,3.9235659
14769,5.6406536,3.946749
751,0.98227036,2.6218576
3755,0.9628024,2.6405406
3756,0.983363,2.6224055
3757,0.9815277,2.6229467
3758,0.9830837,2.6210773
3759,0.9830784,2.6194735
6087,-1.3149903,7.153797
30435,-1.2986991,7.1384997
30436,-1.3116693,7.1531096
30437,-1.2968471,7.137816
30438,-1.2957368,7.1366124
30439,-1.2825241,7.132066
3058,5.9423857,-8.060786
15290,5.949078,-8.067549
15291,5.9443574,-8.0597925
15292,5.945061,-8.060651
15293,5.9292555,-8.064578
15294,5.9588284,-8.08236
4194,1.2291845,15.235052
20970,1.2296937,15.232172
20971,1.2291588,15.233374
20972,1.2291229,15.233312
20973,1.2291358,15.233257
20974,1.229149,15.233084
7552,15.549717,-14.261934
37760,15.521217,-14.290694
37761,15.519971,-14.287689
37762,15.519516,-14.293484
37763,15.524431,-14.282273
37764,15.523383,-14.287558
8028,-1.2502348,7.111443
