,x,y
7473,7.998849,2.6673343
37365,9.775226,5.9469213
37366,9.763181,5.914473
37367,9.765541,5.8930573
37368,6.2902865,1.2975824
37369,9.760152,5.90516
6177,7.5908303,2.6610537
30885,10.413871,5.181972
30886,13.082709,5.0740795
30887,7.6059685,2.6910765
30888,7.7331343,2.5944457
30889,13.050017,5.048905
7116,9.249915,7.1319017
35580,6.834608,0.31477782
35581,9.240855,7.1234484
35582,9.246053,7.124697
35583,9.22339,7.087943
35584,9.214875,7.087415
4644,7.99706,-1.5619086
23220,7.98723,-1.5600458
23221,7.8824077,-1.6541129
23222,8.005907,-1.5805585
23223,8.012432,-1.5583415
23224,7.4136715,-0.32135963
8202,9.2647,7.0013776
41010,9.081343,4.442137
41011,9.136914,4.505073
41012,9.268877,6.981214
41013,9.271363,7.00129
41014,9.232921,6.9765153
233,6.4068165,2.3616166
1165,6.39558,2.4129837
1166,6.397097,2.3538017
1167,8.180766,6.8746295
1168,6.422478,2.3502033
1169,8.214631,6.693261
8974,7.562823,2.368426
44870,6.6152816,-1.700179
44871,11.03656,5.8934817
44872,6.5405354,3.3173957
44873,11.185435,5.9560857
44874,11.20125,5.975478
9071,7.508737,1.7328063
45355,6.0678687,-0.1999793
45356,8.404607,6.554444
45357,5.564077,-1.1025366
45358,7.183002,7.413114
45359,7.6721787,0.2558671
5458,6.0717506,0.8441549
27290,8.559501,6.413323
27291,6.0637937,0.85524064
27292,6.0336027,0.8902527
27293,6.087917,0.79751736
27294,8.539232,6.4647865
2017,10.315203,-1.2531098
10085,10.315037,-1.2537401
10086,9.72269,-1.2772466
10087,9.723484,-1.2677513
10088,10.312131,-1.255352
10089,9.750909,-1.267315
807,8.993499,-1.7527702
4035,8.923467,-1.7224642
4036,8.394251,7.7698584
4037,9.034951,-1.7877699
4038,8.950213,-1.7174716
4039,8.390286,7.771545
2325,12.782756,4.900433
11625,12.811478,4.8904433
11626,12.800544,4.8858232
11627,12.817974,4.897216
11628,11.973262,5.520979
11629,9.767968,3.7955117
6315,8.02406,2.3527904
31575,7.707078,0.24193944
31576,9.548094,4.4080887
31577,12.050831,5.919332
31578,10.120501,5.7292676
31579,12.006723,5.8661184
7653,7.4777603,1.5485955
38265,8.566926,6.489668
38266,7.706712,0.27066952
38267,14.231993,3.821521
38268,14.153439,4.038206
38269,14.22197,3.8478174
9483,9.799952,4.1680207
47415,9.783154,4.1592174
47416,8.903654,2.6611419
47417,9.785035,4.1601443
47418,9.799391,4.1744833
47419,9.80477,4.1687703
4087,5.674597,-2.5959208
20435,6.310754,-2.522538
20436,6.221552,-2.0182705
20437,6.0430284,-2.5411568
20438,5.738637,-2.6131272
20439,6.300024,-2.571042
274,4.533803,-1.2858604
1370,4.712253,-1.2860814
1371,4.6124005,-1.281301
1372,4.5186386,-1.277795
1373,4.535311,-1.2819847
1374,5.056269,-1.0881926
1882,10.378984,2.5540757
9410,8.546887,4.9568257
9411,10.331981,2.54219
9412,8.520219,5.00203
9413,10.347992,2.553192
9414,9.253006,2.2316482
4393,9.253807,3.254522
21965,9.140693,3.1868844
21966,9.220821,3.2284515
21967,9.265131,3.254126
21968,9.165374,3.2074666
21969,9.251546,3.2497313
1628,4.255659,-2.9890816
8140,4.243186,-3.0023043
8141,4.2475586,-2.9964619
8142,4.2553344,-3.0113053
8143,4.2775955,-2.9724967
8144,4.2595916,-2.987586
4954,11.754178,5.7418947
24770,11.759565,5.7165246
24771,11.777188,5.755557
24772,11.727724,5.7340693
24773,11.751626,5.7411566
24774,11.719595,5.7889643
2500,7.3988304,2.6699076
12500,6.5937204,-1.703139
12501,7.388732,2.699861
12502,6.7503953,3.6702685
12503,7.3999166,2.6493819
12504,6.2409663,2.743288
2781,6.2022076,-3.1139488
13905,6.1979465,-3.103796
13906,6.240858,-3.1145904
13907,6.20841,-3.0664468
13908,6.2017694,-3.071919
13909,6.2171593,-3.1060686
4444,6.7525144,-1.153204
22220,6.836841,-1.0308641
22221,6.034671,-0.94850594
22222,8.127033,-1.2335624
22223,7.951812,7.3437333
22224,8.504462,6.9199104
8913,11.407379,2.886337
44565,11.486715,2.9806635
44566,11.408246,2.8735776
44567,10.614869,4.5118575
44568,10.59022,4.4932466
44569,12.513274,4.1476183
6882,6.323745,0.75932425
34410,6.2801003,1.181226
34411,6.341325,0.6817708
34412,6.249047,0.7236532
34413,6.312963,0.6875407
34414,6.274076,0.73582125
6044,9.854877,5.542656
30220,9.768726,5.5809836
30221,9.83435,5.549363
30222,12.025793,5.7380533
30223,11.9421425,5.952015
30224,8.29528,2.5844715
4669,10.465322,5.011104
