,x,y
7473,1.3972273,14.115735
37365,1.3971162,14.115358
37366,1.3972182,14.115591
37367,1.3958871,14.113799
37368,1.3971883,14.115554
37369,1.3958478,14.113802
6177,-2.70494,-3.20502
30885,-2.7546737,-3.1763651
30886,-2.6893153,-3.241476
30887,-2.7055774,-3.2058914
30888,-2.7051349,-3.2039497
30889,-2.7100961,-3.207574
7116,4.0296354,0.28385696
35580,4.0375957,0.2737174
35581,4.015262,0.2979221
35582,4.0072207,0.30650568
35583,4.0319953,0.28817075
35584,4.02717,0.29303458
4644,14.675714,7.5399604
23220,14.68097,7.5406575
23221,14.73322,7.6504216
23222,14.670433,7.5298495
23223,14.67188,7.5235944
23224,14.6757555,7.5401454
8202,5.0008054,0.028293265
41010,5.0343847,0.0064741643
41011,5.0251675,0.019333964
41012,5.036543,0.0056302734
41013,5.0353656,0.009352271
41014,5.0206103,0.02020845
233,15.867911,-3.726085
1165,15.868004,-3.7277813
1166,15.862784,-3.7280142
1167,15.902147,-3.6883397
1168,15.866082,-3.728895
1169,15.869,-3.7243617
8974,0.59031427,1.2606242
44870,0.61438394,1.247816
44871,0.5745315,1.2499896
44872,0.5929628,1.267008
44873,0.5756356,1.2444946
44874,0.5881888,1.2576058
9071,14.950441,-5.9817967
45355,14.971749,-5.973667
45356,14.954998,-5.964176
45357,14.958618,-5.97744
45358,14.969668,-5.9765587
45359,14.963814,-5.9926867
5458,9.077065,-8.197487
27290,9.083858,-8.193892
27291,9.074021,-8.188948
27292,9.057226,-8.230539
27293,9.075506,-8.185537
27294,9.081525,-8.192753
2017,6.1892624,12.184178
10085,6.190771,12.180008
10086,6.172321,12.199337
10087,6.179028,12.18757
10088,6.2014856,12.170995
10089,6.1892924,12.1821575
807,6.0865483,-5.0337396
4035,6.0846987,-5.0357075
4036,6.0942435,-5.0342712
4037,6.105884,-5.0293064
4038,6.082772,-5.0367823
4039,6.085835,-5.035893
2325,-2.4636242,0.5689895
11625,-2.4781759,0.56641966
11626,-2.4867365,0.56345695
11627,-2.46892,0.5692237
11628,-2.4772918,0.5663674
11629,-2.4832056,0.56497526
6315,-2.6831033,-10.794332
31575,-2.680937,-10.796349
31576,-2.6761389,-10.801141
31577,-2.6787522,-10.798002
31578,-2.6820662,-10.795284
31579,-2.6778321,-10.798867
7653,-7.0841103,5.2385597
38265,-7.0782814,5.249975
38266,-7.083982,5.2397947
38267,-7.09168,5.2329383
38268,-7.08203,5.245758
38269,-7.085277,5.240383
9483,-6.220641,5.028394
47415,-6.219995,5.0288277
47416,-6.2445045,5.020462
47417,-6.2149396,5.026146
47418,-6.2217627,5.027595
47419,-6.221612,5.027733
4087,14.173184,3.283072
20435,14.160867,3.2932281
20436,14.173452,3.2717915
20437,14.172259,3.2730112
20438,14.172061,3.2701893
20439,14.1750555,3.2703602
274,17.937246,3.283274
1370,17.92667,3.3268404
1371,17.926449,3.3273587
1372,17.954012,3.3532517
1373,17.928812,3.3271704
1374,17.900038,3.3441951
1882,4.4763074,6.430117
9410,4.4459896,6.4589424
9411,4.4505315,6.4501452
9412,4.431782,6.463177
9413,4.436565,6.4712977
9414,4.44469,6.4604216
4393,-10.322394,4.5766144
21965,-10.321959,4.5781517
21966,-10.32693,4.584302
21967,-10.314073,4.5726004
21968,-10.322555,4.5831046
21969,-10.305293,4.5618844
1628,17.242605,3.5974016
8140,17.25615,3.587671
8141,17.23559,3.6054418
8142,17.253607,3.597338
8143,17.260906,3.5834732
8144,17.265408,3.5731084
4954,-1.3667631,5.472571
24770,-1.3771384,5.4998307
24771,-1.3756651,5.4645376
24772,-1.3724467,5.4690523
24773,-1.3838875,5.4677033
24774,-1.3645991,5.4588413
2500,12.933731,6.234327
12500,12.970246,6.239168
12501,12.9300995,6.2368064
12502,12.958089,6.2199125
12503,12.943254,6.22523
12504,12.929006,6.240344
