Smiles,Atype,Label,x,y
NN=c1ccc(N(CCO)CCO)n[nH]1,Anc,14946,3.6331291,1.6699975
Cc1cc(=NN)[nH]nc1N(CCO)CCO,Aug,14946,4.8152018,7.126836
NN=c1[nH]nc(N(CCO)CCO)cc1S,Aug,14946,0.96631753,5.6231112
NN=c1ccc(N(CCO)C(N)CO)n[nH]1,Aug,14946,7.5042205,1.7729474
COCCN(CCO)c1ccc(=NN)[nH]n1,Aug,14946,7.0518603,1.9858783
COCCN(CCO)c1ccc(=NN)[nH]n1,Aug,14946,3.9237058,5.0836835
O=C(c1c(F)cccc1F)N1CCc2c(cnn2-c2ccc(F)cc2Cl)C1,Anc,12354,1.7670912,5.804216
O=C(c1c(F)cccc1F)N1CCc2c(cnn2-c2c(O)cc(F)cc2Cl)C1,Aug,12354,3.5534265,4.3044744
O=C(c1c(F)cccc1F)N1CCc2c(cnn2-c2ccc(F)cc2Cl)C1O,Aug,12354,4.864685,1.6993649
Cc1ccc(F)c(C(=O)N2CCc3c(cnn3-c3ccc(F)cc3Cl)C2)c1F,Aug,12354,3.2665339,1.101011
Cc1nn(-c2ccc(F)cc2Cl)c2c1CN(C(=O)c1c(F)cccc1F)CC2,Aug,12354,0.4189395,4.537905
NC1Cc2c(cnn2-c2ccc(F)cc2Cl)CN1C(=O)c1c(F)cccc1F,Aug,12354,5.098354,2.6522334
O=C1OC(c2ccc(O)c(Br)c2)(c2ccc(O)c(Br)c2)c2c1ccc1ccccc21,Anc,14233,4.705528,4.062369
COc1ccc(C2(c3ccc(O)c(Br)c3)OC(=O)c3ccc4ccccc4c32)cc1Br,Aug,14233,5.689216,5.1799965
Nc1ccc2ccc3c(c2c1)C(c1ccc(O)c(Br)c1)(c1ccc(O)c(Br)c1)OC3=O,Aug,14233,3.721318,5.0736117
Cc1c(C2(c3ccc(O)c(Br)c3)OC(=O)c3ccc4ccccc4c32)ccc(O)c1Br,Aug,14233,0.8557223,3.8194127
Cc1ccc2c3c(ccc2c1)C(=O)OC3(c1ccc(O)c(Br)c1)c1ccc(O)c(Br)c1,Aug,14233,4.77359,6.4102807
Cc1cc(O)c(Br)cc1C1(c2ccc(O)c(Br)c2)OC(=O)c2ccc3ccccc3c21,Aug,14233,3.3825912,2.0573025
CNC(=O)NC(=O)C(C)OC(=O)c1cc2c(s1)CCCCC2,Anc,9289,1.0480158,5.5299473
CCC(OC(=O)c1cc2c(s1)CCCCC2)C(=O)NC(=O)NC,Aug,9289,6.4928117,3.401056
CNC(=O)NC(=O)C(C)OC(=O)C1=CC2=C(CCCCC2)[SH]1O,Aug,9289,1.0780851,5.595464
CNC(=O)NC(=O)C(C)OC(=O)c1cc2c(s1)CCCC(C)C2,Aug,9289,5.779539,6.766561
CNC(=O)NC(=O)C(C)OC(=O)c1cc2c(s1)C(O)CCCC2,Aug,9289,6.1343784,4.7430677
CNC(=O)NC(=O)C(C)(N)OC(=O)c1cc2c(s1)CCCCC2,Aug,9289,1.4413644,4.876166
CCOC(=O)Cc1c(-c2cccc(Br)c2)nc2c3ccccc3ccn12,Anc,16404,2.7660646,3.8711185
CCOC(=O)C(C)c1c(-c2cccc(Br)c2)nc2c3ccccc3ccn12,Aug,16404,1.4595791,2.395698
CCOC(=O)Cc1c(-c2cc(C)cc(Br)c2)nc2c3ccccc3ccn12,Aug,16404,4.015908,4.792637
CCOC(=O)Cc1c(-c2cccc(Br)c2)nc2c3cc(C)ccc3ccn12,Aug,16404,7.67693,3.3022914
O=C(Cc1c(-c2cccc(Br)c2)nc2c3ccccc3ccn12)OCCO,Aug,16404,4.5616493,3.0041265
CC(C)OC(=O)Cc1c(-c2cccc(Br)c2)nc2c3ccccc3ccn12,Aug,16404,6.962747,2.9463816
CCCC1CCC(N2CCC3(CC2)C(=O)NCN3c2ccccc2)CC1,Anc,466,4.3572116,2.8456676
CCCC1CCC(N2CCC3(CC2)C(=O)NCN3c2ccc(C)cc2)CC1,Aug,466,3.8408267,2.3135448
CCCC1CCC(N2CCC3(CC2)C(=O)NCN3c2ccccc2C)CC1,Aug,466,7.9519463,3.176943
CCCC1CCC(N2CCC3(CC2C)C(=O)NCN3c2ccccc2)CC1,Aug,466,0.88631046,3.5875194
CCCC1CCC(N2CCC3(C(=O)NCN3c3ccccc3)C(C)C2)CC1,Aug,466,5.7211633,3.838051
CCC(O)C1CCC(N2CCC3(CC2)C(=O)NCN3c2ccccc2)CC1,Aug,466,0.74955547,3.9674315
CCCn1c(=O)n(C)c(=O)c2c1ncn2CCCN(C)C,Anc,17948,3.4313228,6.3616815
CCCn1c(=O)n(C)c(=O)c2c1ncn2C(F)CCN(C)C,Aug,17948,4.23442,2.7063792
CCCn1c(=O)n(C)c(=O)c2c1nc(C)n2CCCN(C)C,Aug,17948,4.949242,5.469906
CCCn1c(=O)n(C)c(=O)c2c1ncn2CCC(C)N(C)C,Aug,17948,2.1906903,0.7973807
CCCn1c(=O)n(C)c(=O)c2c1ncn2CC(C)CN(C)C,Aug,17948,7.498036,1.6162544
CCCn1c(=O)n(C)c(=O)c2c1ncn2CCCN(C)CC,Aug,17948,6.685268,3.8820236
CCNC(=O)Nc1[nH]nc2nnc(-c3ccccc3)c(-c3ccccc3)c12,Anc,18142,2.49204,4.079152
CCNC(=O)Nc1[nH]nc2nnc(-c3cccc(N)c3)c(-c3ccccc3)c12,Aug,18142,2.9146113,5.4404864
CCNC(=O)Nc1[nH]nc2nnc(-c3ccccc3)c(-c3ccc(C)cc3)c12,Aug,18142,3.4987466,3.3186538
NCCNC(=O)Nc1[nH]nc2nnc(-c3ccccc3)c(-c3ccccc3)c12,Aug,18142,2.7312558,3.039281
CCNC(=O)Nc1[nH]nc2nnc(-c3ccccc3C)c(-c3ccccc3)c12,Aug,18142,2.5708878,2.4066725
CCNC(=O)Nc1[nH]nc2nnc(-c3ccc(N)cc3)c(-c3ccccc3)c12,Aug,18142,1.5136706,5.0722976
O=C(Nc1ccc(F)c(C(F)(F)F)c1)c1cc(Cl)ccc1O,Anc,10916,2.8818958,0.91572815
CN(C(=O)c1cc(Cl)ccc1O)c1ccc(F)c(C(F)(F)F)c1,Aug,10916,4.1669736,4.626446
Cc1c(NC(=O)c2cc(Cl)ccc2O)ccc(F)c1C(F)(F)F,Aug,10916,5.8808775,0.47777954
Nc1c(Cl)ccc(O)c1C(=O)Nc1ccc(F)c(C(F)(F)F)c1,Aug,10916,3.407574,2.8912868
Cc1cc(Cl)cc(C(=O)Nc2ccc(F)c(C(F)(F)F)c2)c1O,Aug,10916,1.9299979,4.163011
Cc1cc(O)c(C(=O)Nc2ccc(F)c(C(F)(F)F)c2)cc1Cl,Aug,10916,8.243123,2.242423
NC(=O)c1cn(Cc2ccccc2)c2c1CCc1cnc(NC3CCCC3)nc1-2,Anc,4035,5.4710174,2.016691
NC(=O)c1cn(Cc2ccccc2N)c2c1CCc1cnc(NC3CCCC3)nc1-2,Aug,4035,4.9326215,6.2388134
CC1Cc2cnc(NC3CCCC3)nc2-c2c1c(C(N)=O)cn2Cc1ccccc1,Aug,4035,4.6528387,3.7898312
NC(=O)c1cn(Cc2ccccc2)c2c1CCc1cnc(N(O)C3CCCC3)nc1-2,Aug,4035,2.202536,5.013678
Cc1nc(NC2CCCC2)nc2c1CCc1c(C(N)=O)cn(Cc3ccccc3)c1-2,Aug,4035,4.8187037,4.2530913
Cc1ccccc1Cn1cc(C(N)=O)c2c1-c1nc(NC3CCCC3)ncc1CC2,Aug,4035,2.0043728,4.3236613
COc1cc2c(cc1Cn1ccnc1)Cc1c-2n[nH]c1-c1ccc(C#N)cc1,Anc,1614,5.437699,0.87860286
COc1cc2c(cc1Cn1cncc1N)Cc1c-2n[nH]c1-c1ccc(C#N)cc1,Aug,1614,1.3245476,3.93054
COc1cc2c(cc1Cn1ccnc1)Cc1c-2n[nH]c1-c1ccc(C#N)cc1C,Aug,1614,1.8335103,1.1991082
COc1cc2c(cc1Cn1ccnc1)Cc1c-2n[nH]c1-c1ccc(C#N)c(O)c1,Aug,1614,1.2469842,2.672115
COc1c(Cn2ccnc2)cc2c(c1C)-c1n[nH]c(-c3ccc(C#N)cc3)c1C2,Aug,1614,5.9149647,6.9491086
COc1cc2c(cc1Cn1ccnc1)Cc1c-2n[nH]c1-c1ccc(C#N)cc1C,Aug,1614,6.6174707,4.9249635
Cc1c(CCNS(=O)(=O)c2ccc(C=CC(=O)NO)cc2)c2ccccc2n1C,Anc,4650,5.274702,0.8439506
Cc1c(C(C)CNS(=O)(=O)c2ccc(C=CC(=O)NO)cc2)c2ccccc2n1C,Aug,4650,4.863233,6.279609
Cc1cccc2c1c(CCNS(=O)(=O)c1ccc(C=CC(=O)NO)cc1)c(C)n2C,Aug,4650,0.6047599,5.0988374
Cc1c(CC(C)NS(=O)(=O)c2ccc(C=CC(=O)NO)cc2)c2ccccc2n1C,Aug,4650,1.9756114,2.9351776
CONC(=O)C=Cc1ccc(S(=O)(=O)NCCc2c(C)n(C)c3ccccc23)cc1,Aug,4650,5.1633663,4.5550213
Cc1c(CCNS(=O)(=O)c2ccc(C=CC(=O)N(C)O)cc2)c2ccccc2n1C,Aug,4650,0.4578137,4.3667426
Cn1c(=O)[nH]c2ncc(-c3ccc(O)cc3)cc21,Anc,12631,6.51248,3.2471356
Cn1c(=O)[nH]c2ncc(-c3ccc(O)cc3O)cc21,Aug,12631,6.619567,1.8030491
Cc1cc(O)ccc1-c1cnc2[nH]c(=O)n(C)c2c1,Aug,12631,1.0445102,3.6824126
Cc1c(-c2ccc(O)cc2)cnc2[nH]c(=O)n(C)c12,Aug,12631,3.196963,5.917887
CCn1c(=O)[nH]c2ncc(-c3ccc(O)cc3)cc21,Aug,12631,6.2053394,1.095102
Cc1cc(-c2cnc3[nH]c(=O)n(C)c3c2)ccc1O,Aug,12631,8.614512,3.6684713
Cc1ccc(-c2nc3cc(-c4nc5cc(C#N)ccc5[nH]4)ccc3[nH]2)cc1,Anc,15306,4.399198,2.9075654
Cc1ccc(-c2nc3cc(-c4nc5cc(C#N)ccc5[nH]4)ccc3[nH]2)cc1C,Aug,15306,1.8173668,4.2639956
Cc1ccc(-c2nc3cc(-c4nc5cc(C#N)ccc5[nH]4)ccc3[nH]2)c(C)c1,Aug,15306,7.2458897,0.63559765
Cc1ccc(-c2nc3cc(-c4nc5cc(C#N)ccc5[nH]4)ccc3[nH]2)c(N)c1,Aug,15306,6.7047634,1.9353162
CCc1ccc(-c2nc3cc(-c4nc5cc(C#N)ccc5[nH]4)ccc3[nH]2)cc1,Aug,15306,4.050065,5.4698873
Cc1ccc(-c2nc3cc(-c4nc5cc(C#N)ccc5[nH]4)c(C)cc3[nH]2)cc1,Aug,15306,2.2586117,2.7302327
CC1(O)CC(=CCCCCCCO)CN2CCCC21,Anc,18967,6.1346054,3.8372073
CC(CCCCCCO)=C1CN2CCCC2C(C)(O)C1,Aug,18967,2.1695344,3.5183716
CC(O)CCCCCC=C1CN2CCCC2C(C)(O)C1,Aug,18967,1.3058012,5.304442
CC1CC2N(CC(=CCCCCCCO)CC2(C)O)C1,Aug,18967,3.405163,6.461004
CC(CC=C1CN2CCCC2C(C)(O)C1)CCCCO,Aug,18967,3.2685049,3.7909398
CC1C(=CCCCCCCO)CN2CCCC2C1(C)O,Aug,18967,6.0285144,4.6695967
CN1CC2C(=O)N(c3ccc(F)cc3)C(=O)C2C12C(=O)Nc1ccc(Cl)cc12,Anc,8174,3.0789137,5.575722
Cc1cc(F)ccc1N1C(=O)C2CN(C)C3(C(=O)Nc4ccc(Cl)cc43)C2C1=O,Aug,8174,8.794668,4.3521705
Cc1cc(N2C(=O)C3CN(C)C4(C(=O)Nc5ccc(Cl)cc54)C3C2=O)ccc1F,Aug,8174,7.3757343,4.585842
CN1CC2(C)C(=O)N(c3ccc(F)cc3)C(=O)C2C12C(=O)Nc1ccc(Cl)cc12,Aug,8174,2.13375,4.7375803
CCN1CC2C(=O)N(c3ccc(F)cc3)C(=O)C2C12C(=O)Nc1ccc(Cl)cc12,Aug,8174,3.5211885,6.3222127
CN1C(=O)C2(c3cc(Cl)ccc31)C1C(=O)N(c3ccc(F)cc3)C(=O)C1CN2C,Aug,8174,5.766725,3.528016
O=C(NCCC(=O)N1CCOCCOCCOCCOCC1)OCc1ccccc1,Anc,549,2.8122962,3.2802184
O=C(NCCC(=O)N1CCOCCOCCOCCOC(O)C1)OCc1ccccc1,Aug,549,1.9147098,2.4222863
CC1COCCOCCOCCOCCN1C(=O)CCNC(=O)OCc1ccccc1,Aug,549,2.6703873,4.4517174
O=C(NCCC(=O)N1CCOCCOCCOC(O)COCC1)OCc1ccccc1,Aug,549,6.065018,4.7569065
Cc1cccc(COC(=O)NCCC(=O)N2CCOCCOCCOCCOCC2)c1,Aug,549,6.6477237,3.9659283
Cc1cccc(COC(=O)NCCC(=O)N2CCOCCOCCOCCOCC2)c1,Aug,549,2.4337294,5.427324
COc1ccc(Cl)cc1NC(=O)CN(C)C(=O)c1ccc(-n2nc(C)cc2C)cc1,Anc,3765,1.8486568,2.9690852
COc1ccc(Cl)cc1N(C)C(=O)CN(C)C(=O)c1ccc(-n2nc(C)cc2C)cc1,Aug,3765,6.488523,3.3311718
CCc1cc(C)nn1-c1ccc(C(=O)N(C)CC(=O)Nc2cc(Cl)ccc2OC)cc1,Aug,3765,2.9328616,2.6128933
COc1ccc(Cl)cc1NC(=O)CN(C)C(=O)c1ccc(-n2nc(C)c(C)c2C)cc1,Aug,3765,6.195198,5.069328
COc1ccc(Cl)cc1NC(=O)C(C)N(C)C(=O)c1ccc(-n2nc(C)cc2C)cc1,Aug,3765,8.733353,2.9504821
COc1ccc(Cl)cc1NC(=O)CN(C)C(=O)c1ccc(-n2nc(C)cc2C)c(C)c1,Aug,3765,7.435578,2.010233
Cc1cc(=O)oc2cc(OCCc3ccccc3)ccc12,Anc,8787,0.7077476,3.8619897
Cc1ccccc1CCOc1ccc2c(C)cc(=O)oc2c1,Aug,8787,5.56441,5.3572383
Cc1cccc(CCOc2ccc3c(C)cc(=O)oc3c2)c1,Aug,8787,5.416282,6.444073
Cc1cc(=O)oc2c(C)c(OCCc3ccccc3)ccc12,Aug,8787,7.3497057,4.3613515
CCc1cc(=O)oc2cc(OCCc3ccccc3)ccc12,Aug,8787,4.2440414,4.0568604
Cc1cc(=O)oc2cc(OCCc3ccc(N)cc3)ccc12,Aug,8787,4.149882,1.9643748
COc1ccc(C(=O)C=Cc2cnc3ccccc3c2)c(F)c1,Anc,3256,2.938656,2.4451294
COc1ccc(C(=O)C=Cc2cnc3ccccc3c2O)c(F)c1,Aug,3256,2.0711942,4.844325
COc1cc(F)c(C(=O)C=Cc2cnc3ccccc3c2)cc1N,Aug,3256,4.088365,6.169058
