Smiles,Atype,Label,x,y
N=C(NN=Cc1cccnc1)NN=Cc1cccnc1,Anc,7473,-1.3856306,2.5237975
Cc1cncc(C=NNC(=N)NN=Cc2cccnc2)c1,Aug,7473,10.303745,1.9563501
Cc1ccncc1C=NNC(=N)NN=Cc1cccnc1,Aug,7473,9.694248,2.8705795
Cc1ncccc1C=NNC(=N)NN=Cc1cccnc1,Aug,7473,9.833294,2.1831212
CC(=NNC(=N)NN=Cc1cccnc1)c1cccnc1,Aug,7473,9.112896,2.7739573
Cc1ncccc1C=NNC(=N)NN=Cc1cccnc1,Aug,7473,9.4377,2.0183883
N=C(N)Nc1ncc(Cl)cc1Oc1ccccc1,Anc,6177,6.3755007,1.3535912
Cc1ccccc1Oc1cc(Cl)cnc1NC(=N)N,Aug,6177,10.5225115,10.009008
Cc1ccc(Oc2cc(Cl)cnc2NC(=N)N)cc1,Aug,6177,12.313042,7.650922
NN=C(N)Nc1ncc(Cl)cc1Oc1ccccc1,Aug,6177,12.286686,7.6286783
CNC(=N)Nc1ncc(Cl)cc1Oc1ccccc1,Aug,6177,6.567654,2.0580373
Cc1cccc(Oc2cc(Cl)cnc2NC(=N)N)c1,Aug,6177,6.3657136,1.5990306
COc1ccc(C2=NOC(C(=O)NO)C2)cc1,Anc,7116,5.088569,4.3777404
CONC(=O)C1CC(c2ccc(OC)cc2)=NO1,Aug,7116,9.878226,9.5710945
COc1ccc(C2=NOC(C(=O)NO)C2)cc1C,Aug,7116,12.07181,8.062452
COc1ccc(C2=NOC(C(=O)NO)C2)cc1C,Aug,7116,10.056644,10.296916
COc1ccc(C2=NOC(C(=O)NO)C2)c(C)c1,Aug,7116,0.12717435,2.4438381
COc1ccc(C2=NOC(C(=O)N(C)O)C2)cc1,Aug,7116,0.7224588,2.4027307
CCOCCC1(CNC(=O)c2ccsc2)CCC1,Anc,4644,8.116132,5.632939
CCOCCC1(CNC(=O)c2ccsc2)CCC1O,Aug,4644,1.3125719,2.4303246
CCOCCC1(CNC(=O)C2=C[SH](O)C=C2)CCC1,Aug,4644,1.5484916,2.602289
CCOCCC1(CNC(=O)c2ccsc2C)CCC1,Aug,4644,9.650853,2.7652714
CCOCCC1(CNC(=O)c2ccsc2)CCC1C,Aug,4644,4.861976,3.2423263
CC(C)OCCC1(CNC(=O)c2ccsc2)CCC1,Aug,4644,11.773802,7.4408727
CCCCOc1ccc(C=C2NC(=O)NC2=O)cc1,Anc,8202,-1.1707072,2.1732037
CC(C)CCOc1ccc(C=C2NC(=O)NC2=O)cc1,Aug,8202,8.986479,4.9995713
CCCC(C)Oc1ccc(C=C2NC(=O)NC2=O)cc1,Aug,8202,9.708858,9.313709
CCCCCOc1ccc(C=C2NC(=O)NC2=O)cc1,Aug,8202,4.2603745,4.970748
CCCCOc1ccc(C=C2NC(=O)NC2=O)c(C)c1,Aug,8202,6.9408584,1.2396727
CCCCOc1ccc(C=C2C(=O)NC(=O)N2C)cc1,Aug,8202,10.529433,2.896352
CC(C)C(=NO)c1ccccc1,Anc,233,7.297669,0.85818136
CCC(C)C(=NO)c1ccccc1,Aug,233,11.5528345,7.659728
CCC(C)C(=NO)c1ccccc1,Aug,233,4.8695006,3.24132
Cc1ccccc1C(=NO)C(C)C,Aug,233,3.2465444,6.0817337
CC(C)C(=NOO)c1ccccc1,Aug,233,10.602795,1.6523315
Cc1cccc(C(=NO)C(C)C)c1,Aug,233,9.889745,1.4073032
N=C(NS(=O)(=O)c1cccs1)c1ccccc1,Anc,8974,9.053346,2.6695533
C[SH]1C=CC=C1S(=O)(=O)NC(=N)c1ccccc1,Aug,8974,6.4064655,1.5259806
Cc1ccsc1S(=O)(=O)NC(=N)c1ccccc1,Aug,8974,8.724558,2.3657622
CN(C(=N)c1ccccc1)S(=O)(=O)c1cccs1,Aug,8974,10.2243805,10.057116
Cc1cccc(C(=N)NS(=O)(=O)c2cccs2)c1,Aug,8974,-1.6601877,2.1903698
Cc1cccc(C(=N)NS(=O)(=O)c2cccs2)c1,Aug,8974,1.443732,2.581582
O=C(CCCCCONC(=O)c1ccc(F)cc1)NO,Anc,9071,10.13314,10.377658
CN(O)C(=O)CCCCCONC(=O)c1ccc(F)cc1,Aug,9071,9.046545,4.6164193
Cc1cc(C(=O)NOCCCCCC(=O)NO)ccc1F,Aug,9071,8.987208,4.9867487
CC(CCCCC(=O)NO)ONC(=O)c1ccc(F)cc1,Aug,9071,5.125909,4.3666806
Cc1cc(F)ccc1C(=O)NOCCCCCC(=O)NO,Aug,9071,0.43052953,4.125983
CC(CCCONC(=O)c1ccc(F)cc1)CC(=O)NO,Aug,9071,0.41188642,3.9067426
CC(C)N=C(NC#N)SCc1ccc(Br)cc1,Anc,5458,1.9700781,2.0445945
Cc1cc(CSC(=NC(C)C)NC#N)ccc1Br,Aug,5458,-0.8954541,1.9090414
CC(CO)N=C(NC#N)SCc1ccc(Br)cc1,Aug,5458,9.558028,2.7723048
CC(C)N=C(NC#N)[SH](F)Cc1ccc(Br)cc1,Aug,5458,10.15353,2.4682574
CC(C)(C)N=C(NC#N)SCc1ccc(Br)cc1,Aug,5458,5.0828123,4.391179
Cc1cc(CSC(=NC(C)C)NC#N)ccc1Br,Aug,5458,3.4988427,5.83778
C1CN(c2nnc(N3CCC3)nn2)C1,Anc,2017,8.114344,5.6297445
ClC1CN(c2nnc(N3CCC3)nn2)C1,Aug,2017,11.83832,7.472752
