,Recon
0,3.3905797004699707
1,3.226986885070801
2,3.1070828437805176
3,2.984215021133423
4,2.89642333984375
5,2.8185834884643555
6,2.7406203746795654
7,2.703019618988037
8,2.6515471935272217
9,2.644808053970337
10,2.521909236907959
11,2.5099809169769287
12,2.489009380340576
13,2.5153965950012207
14,2.462904214859009
15,2.455045700073242
16,2.523054361343384
17,2.47849702835083
18,2.465691089630127
19,2.365394353866577
20,2.4897711277008057
21,2.428295850753784
22,2.3707940578460693
23,2.4520862102508545
24,2.3170034885406494
25,2.34008526802063
26,2.406961441040039
27,2.3345417976379395
28,2.28541898727417
29,2.273188352584839
30,2.24778151512146
31,2.2682459354400635
32,2.280468463897705
33,2.238466262817383
34,2.2721710205078125
35,2.261025905609131
36,2.207864999771118
37,2.139998197555542
38,2.1758201122283936
39,2.2177863121032715
40,2.1652166843414307
41,2.100430488586426
42,2.1443827152252197
43,2.2154698371887207
44,2.1214089393615723
45,2.123507022857666
46,2.1330008506774902
47,2.114199161529541
48,2.110325336456299
49,2.1439287662506104
50,2.0374748706817627
51,2.105552911758423
52,2.114182949066162
53,2.017763376235962
54,2.103337287902832
55,2.0167386531829834
56,2.023503541946411
57,2.026069164276123
58,1.9808275699615479
59,1.9717559814453125
60,1.9976179599761963
61,1.9575756788253784
62,1.9932700395584106
63,1.978773832321167
64,1.951012372970581
65,1.9511045217514038
66,1.965345859527588
67,2.0553858280181885
68,1.9608129262924194
69,1.8797109127044678
70,1.9312852621078491
71,1.9527643918991089
72,1.9342732429504395
73,1.9941767454147339
74,1.969875693321228
75,1.9135600328445435
76,1.903354525566101
77,1.8428419828414917
78,1.8612182140350342
79,1.9329993724822998
80,1.932064175605774
81,1.8421618938446045
82,1.8546642065048218
83,1.8236840963363647
84,1.8217189311981201
85,1.8161253929138184
86,1.7740554809570312
87,1.8639755249023438
88,1.878185749053955
89,1.8129284381866455
90,1.7675714492797852
91,1.8562732934951782
92,1.8134198188781738
93,1.8129663467407227
94,1.8072611093521118
95,1.8478200435638428
96,1.8466839790344238
97,1.7842758893966675
98,1.7681652307510376
99,1.873921513557434
100,1.7897909879684448
101,1.7927305698394775
102,1.7560856342315674
103,1.76493501663208
104,1.685958981513977
105,1.7839025259017944
106,1.8101898431777954
107,1.7329826354980469
108,1.7289557456970215
109,1.6573487520217896
110,1.613425850868225
111,1.7292160987854004
112,1.672318696975708
113,1.7922676801681519
114,1.7227650880813599
115,1.7305997610092163
116,1.6631715297698975
117,1.7400295734405518
118,1.6910942792892456
119,1.7099920511245728
120,1.572372317314148
121,1.7788499593734741
122,1.6750985383987427
123,1.7483066320419312
124,1.7008965015411377
125,1.6982625722885132
126,1.6371631622314453
127,1.6631567478179932
128,1.666313886642456
129,1.7234337329864502
130,1.5943603515625
